id,content_type,parent_id,category_id,status,fi_checked,en_checked,options_checked,correct_answer_checked,explanation_checked,clues_checked,notes,reviewed_at,reviewed_by
Q001,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q002,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q003,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q004,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q005,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q006,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q007,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q008,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q009,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q010,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q011,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q012,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q013,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q014,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q015,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q016,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q017,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q018,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q019,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q020,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q021,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q022,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q023,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q024,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q025,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Q026,bank_question,,passenger_safety,pending,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
